16
{'composition': {'Au': 16}, 'crystal structure': 'fcc', 'shape': 'ellipsoid', 'MOI': array([6.237, 6.237, 6.237]), 'MOInormalized': array([6.237, 6.237, 6.237]), 'MOI_dim': array([7.897, 7.897, 7.897]), 'main_dim': array([3.382, 0.   ]), 'secondary_dim': {'edges': {'edge_1': {'length': None, 'atoms_per_edge': None}, 'edge_2': {'length': None, 'atoms_per_edge': None}}}, 'truncation': False, 'number_of_atoms': 16, 'wulff': False, 'crystallization': {'state': 'crystalline', 'type': 'monocrystalline', 'subtype': 'random'}, 'wire_description': {'nRot': None, 'plane_rotated': None}}
# q,fq
1.139999961853027344e+01,1.232959508895874023e+00
1.144999980926513672e+01,1.261108160018920898e+00
1.150000000000000000e+01,1.260459303855895996e+00
1.154999923706054688e+01,1.230175971984863281e+00
1.159999942779541016e+01,1.169799923896789551e+00
1.164999961853027344e+01,1.079374194145202637e+00
1.169999980926513672e+01,9.595825672149658203e-01
1.175000000000000000e+01,8.119117617607116699e-01
1.180000019073486328e+01,6.388342380523681641e-01
1.185000038146972656e+01,4.439017176628112793e-01
1.190000057220458984e+01,2.318307757377624512e-01
1.194999980926513672e+01,8.484233170747756958e-03
1.200000000000000000e+01,-2.192748337984085083e-01
1.205000019073486328e+01,-4.437797963619232178e-01
1.210000038146972656e+01,-6.568964719772338867e-01
1.215000057220458984e+01,-8.504406809806823730e-01
1.219999980926513672e+01,-1.016645312309265137e+00
1.225000000000000000e+01,-1.148658156394958496e+00
1.230000019073486328e+01,-1.240992188453674316e+00
1.234999942779541016e+01,-1.289950251579284668e+00
1.239999961853027344e+01,-1.293942809104919434e+00
1.244999980926513672e+01,-1.253651738166809082e+00
1.250000000000000000e+01,-1.172065019607543945e+00
1.255000019073486328e+01,-1.054319262504577637e+00
1.260000038146972656e+01,-9.074177145957946777e-01
1.265000057220458984e+01,-7.397664785385131836e-01
1.270000076293945312e+01,-5.606184601783752441e-01
1.275000000000000000e+01,-3.794637024402618408e-01
1.280000019073486328e+01,-2.053546011447906494e-01
1.285000038146972656e+01,-4.632293060421943665e-02
1.290000057220458984e+01,9.117925912141799927e-02
1.295000076293945312e+01,2.026778906583786011e-01
1.300000000000000000e+01,2.859335839748382568e-01
1.305000019073486328e+01,3.410150706768035889e-01
1.310000038146972656e+01,3.701781928539276123e-01
1.314999961853027344e+01,3.776038885116577148e-01
1.319999980926513672e+01,3.689553737640380859e-01
1.325000000000000000e+01,3.508352637290954590e-01
1.330000019073486328e+01,3.301945328712463379e-01
1.335000038146972656e+01,3.136959969997406006e-01
1.339999961853027344e+01,3.071260750293731689e-01
1.344999980926513672e+01,3.149147927761077881e-01
1.350000000000000000e+01,3.397469222545623779e-01
1.354999923706054688e+01,3.823268115520477295e-01
1.359999942779541016e+01,4.413259923458099365e-01
1.364999961853027344e+01,5.134894251823425293e-01
1.369999980926513672e+01,5.938733816146850586e-01
1.375000000000000000e+01,6.762546300888061523e-01
1.380000019073486328e+01,7.535920739173889160e-01
1.385000038146972656e+01,8.185639977455139160e-01
1.390000057220458984e+01,8.641227483749389648e-01
1.394999980926513672e+01,8.839957714080810547e-01
1.400000000000000000e+01,8.731346130371093750e-01
1.405000019073486328e+01,8.280804753303527832e-01
1.410000038146972656e+01,7.471950650215148926e-01
1.415000057220458984e+01,6.307816505432128906e-01
1.419999980926513672e+01,4.810733795166015625e-01
1.425000000000000000e+01,3.021018803119659424e-01
1.430000019073486328e+01,9.949587285518646240e-02
1.434999942779541016e+01,-1.198240816593170166e-01
1.439999961853027344e+01,-3.479929268360137939e-01
1.444999980926513672e+01,-5.765724778175354004e-01
1.450000000000000000e+01,-7.969323396682739258e-01
1.455000019073486328e+01,-1.000612258911132812e+00
1.460000038146972656e+01,-1.179665327072143555e+00
1.465000057220458984e+01,-1.326947331428527832e+00
1.470000076293945312e+01,-1.436387062072753906e+00
1.475000000000000000e+01,-1.503191471099853516e+00
1.480000019073486328e+01,-1.524027943611145020e+00
1.485000038146972656e+01,-1.497129201889038086e+00
1.490000057220458984e+01,-1.422394514083862305e+00
1.495000076293945312e+01,-1.301428675651550293e+00
1.500000000000000000e+01,-1.137531280517578125e+00
1.505000019073486328e+01,-9.356360435485839844e-01
1.510000038146972656e+01,-7.022057771682739258e-01
1.514999961853027344e+01,-4.450561702251434326e-01
1.519999980926513672e+01,-1.730936765670776367e-01
1.525000000000000000e+01,1.039717048406600952e-01
1.530000019073486328e+01,3.760073184967041016e-01
1.535000038146972656e+01,6.328980326652526855e-01
1.539999961853027344e+01,8.649963736534118652e-01
1.544999980926513672e+01,1.063613891601562500e+00
1.550000000000000000e+01,1.221469283103942871e+00
1.554999923706054688e+01,1.333116769790649414e+00
1.559999942779541016e+01,1.395292639732360840e+00
1.564999961853027344e+01,1.407111048698425293e+00
1.569999980926513672e+01,1.370195031166076660e+00
1.575000000000000000e+01,1.288589835166931152e+00
