559
{'composition': {'Au': 559}, 'crystal structure': 'bcc', 'shape': 'cube', 'size': 20}
# q,fq
1.410000038146972656e+01,-6.709205508232116699e-01
1.415000057220458984e+01,1.859070181846618652e+00
1.419999980926513672e+01,4.127886295318603516e+00
1.425000000000000000e+01,5.131801128387451172e+00
1.430000019073486328e+01,4.455918788909912109e+00
1.434999942779541016e+01,2.599763154983520508e+00
1.439999961853027344e+01,5.604546070098876953e-01
1.444999980926513672e+01,-8.893778324127197266e-01
1.450000000000000000e+01,-1.536255717277526855e+00
1.455000019073486328e+01,-1.469414472579956055e+00
1.460000038146972656e+01,-6.837183833122253418e-01
1.465000057220458984e+01,9.207777380943298340e-01
1.470000076293945312e+01,3.147401094436645508e+00
1.475000000000000000e+01,5.258801937103271484e+00
1.480000019073486328e+01,6.310055732727050781e+00
1.485000038146972656e+01,5.838621616363525391e+00
1.490000057220458984e+01,4.239262580871582031e+00
1.495000076293945312e+01,2.432651042938232422e+00
1.500000000000000000e+01,1.144851446151733398e+00
1.505000019073486328e+01,4.670367240905761719e-01
1.510000038146972656e+01,1.767533458769321442e-02
1.514999961853027344e+01,-5.728474259376525879e-01
1.519999980926513672e+01,-1.350218057632446289e+00
1.525000000000000000e+01,-2.103685617446899414e+00
1.530000019073486328e+01,-2.636601924896240234e+00
1.535000038146972656e+01,-2.957470178604125977e+00
1.539999961853027344e+01,-3.264140129089355469e+00
1.544999980926513672e+01,-3.775964736938476562e+00
1.550000000000000000e+01,-4.535926818847656250e+00
1.554999923706054688e+01,-5.293715476989746094e+00
1.559999942779541016e+01,-5.551514148712158203e+00
1.564999961853027344e+01,-4.795298099517822266e+00
1.569999980926513672e+01,-2.828517913818359375e+00
1.575000000000000000e+01,-2.144900523126125336e-02
1.580000019073486328e+01,2.721985101699829102e+00
1.585000038146972656e+01,4.339426517486572266e+00
1.590000057220458984e+01,4.159622669219970703e+00
1.594999980926513672e+01,2.291987895965576172e+00
1.600000000000000000e+01,-4.172194898128509521e-01
1.604999923706054688e+01,-2.833320617675781250e+00
1.610000038146972656e+01,-4.062108039855957031e+00
1.614999961853027344e+01,-3.735324859619140625e+00
1.620000076293945312e+01,-2.015577077865600586e+00
1.625000000000000000e+01,5.087158083915710449e-01
1.630000114440917969e+01,2.967771291732788086e+00
1.635000038146972656e+01,4.495244503021240234e+00
1.640000152587890625e+01,4.648946762084960938e+00
1.645000076293945312e+01,3.665060758590698242e+00
1.650000000000000000e+01,2.252746343612670898e+00
1.655000114440917969e+01,1.065374016761779785e+00
1.660000038146972656e+01,3.315976262092590332e-01
1.664999961853027344e+01,-7.040432840585708618e-02
1.670000076293945312e+01,-3.091248273849487305e-01
1.675000000000000000e+01,-4.475445449352264404e-01
1.680000114440917969e+01,-5.193300843238830566e-01
1.685000038146972656e+01,-6.128241419792175293e-01
1.689999961853027344e+01,-8.191380500793457031e-01
1.695000076293945312e+01,-1.134283065795898438e+00
1.700000000000000000e+01,-1.434451699256896973e+00
1.704999923706054688e+01,-1.502103090286254883e+00
1.710000038146972656e+01,-1.053890943527221680e+00
1.714999961853027344e+01,1.611533313989639282e-01
