# q,fq
1.070000076293945312e+01,-4.033426344394683838e-01
1.075000000000000000e+01,1.243578910827636719e+00
1.080000019073486328e+01,2.591470241546630859e+00
1.085000038146972656e+01,3.088644266128540039e+00
1.090000057220458984e+01,2.563310384750366211e+00
1.095000076293945312e+01,1.234959244728088379e+00
1.100000000000000000e+01,-4.587316215038299561e-01
1.105000019073486328e+01,-2.075377225875854492e+00
1.110000038146972656e+01,-3.303876161575317383e+00
1.114999961853027344e+01,-4.000589370727539062e+00
1.119999980926513672e+01,-4.172101974487304688e+00
1.125000000000000000e+01,-3.950386524200439453e+00
1.130000019073486328e+01,-3.562664508819580078e+00
1.135000038146972656e+01,-3.262309551239013672e+00
1.139999961853027344e+01,-3.203456163406372070e+00
1.144999980926513672e+01,-3.306232690811157227e+00
1.150000000000000000e+01,-3.220192909240722656e+00
1.154999923706054688e+01,-2.476277589797973633e+00
1.159999942779541016e+01,-7.936448454856872559e-01
1.164999961853027344e+01,1.644278168678283691e+00
1.169999980926513672e+01,4.165956020355224609e+00
1.175000000000000000e+01,5.906105041503906250e+00
1.180000019073486328e+01,6.244119167327880859e+00
1.185000038146972656e+01,5.097356319427490234e+00
1.190000057220458984e+01,2.903748512268066406e+00
1.194999980926513672e+01,3.748468756675720215e-01
1.200000000000000000e+01,-1.769873142242431641e+00
1.205000019073486328e+01,-2.962199211120605469e+00
1.210000038146972656e+01,-2.886248826980590820e+00
1.215000057220458984e+01,-1.602265834808349609e+00
1.219999980926513672e+01,3.667428493499755859e-01
1.225000000000000000e+01,2.166171550750732422e+00
1.230000019073486328e+01,3.032169103622436523e+00
1.234999942779541016e+01,2.789658546447753906e+00
1.239999961853027344e+01,2.027783393859863281e+00
1.244999980926513672e+01,1.726150751113891602e+00
1.250000000000000000e+01,2.536167860031127930e+00
1.255000019073486328e+01,4.245736122131347656e+00
1.260000038146972656e+01,5.856995582580566406e+00
1.265000057220458984e+01,6.239933967590332031e+00
1.270000076293945312e+01,4.878727436065673828e+00
1.275000000000000000e+01,2.173850059509277344e+00
1.280000019073486328e+01,-8.711113929748535156e-01
